unique_identifier,usage,usage_range,PA,IL,TX,OH,MA,MD,NJ,NY,CT,B2B_ACCOUNTING_EXPENSE_CODE,B2B_ADVERTISING_EXPENSE_CODE,B2B_BIG_BUSINESS_INDICATOR,g_grow,s_grow,c_grow,B2B_BUSINESS_SQUARE_FOOT_NUM,B2B_COMPUTER_EXPENSE_CODE,B2B_CONTRACT_LABOR_EXPENSE_CODE,B2B_CREDIT_GRADE,B2B_EMPLOYEE_SIZE,B2B_EXPENSE_TYPE,B2B_HIGH_TECH_FLAG,B2B_INSURANCE_EXPENSE_CODE,B2B_LEGAL_EXPENSE_CODE,B2B_MEDIUM_SIZE_FLAG,B2B_MULTI_TENANT_DESCRIP,B2B_PAYROLL_EXPENSE_CODE,production_year,B2B_PURCHASE_ADMIN_EXPENSE_CODE,B2B_PURCHASE_PRINT_EXPENSE_CODE,B2B_REST_LEASE_EXPENSE_CODE,B2B_SALES_VOLUME,B2B_SMALL_SIZE_FLAG,B2B_TELECOMMUNICATIONS_CODE,B2B_TENANT_FLAG,B2B_UTILITY_CODE,B2B_WHITE_COLLAR_FLAG,Business_and_Finance,General_Merchandise,Hotels_and_Educational_Boarding,Personal_Services,Auto,Food_and_Dining,Amusement_and_Recreation_Services,Wholesale,Blue_Collar_Work,Manufacturing,Public_Health_and_Social_Services,Real_Estate
000345e997e72b61b990d2689c76427f,556.3,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,7,2,1,1,0,1,4,0,1,2,1,3,3,2,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
00095201031df44962513f378842d521,5946.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1,0,0,0,0,2,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
000c88d34beda722f7b559bb056b7809,109258.0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,3,0,9,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0012e632be3d04fab35771fe3fb6db31,15194.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,9,1,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
00130d1949e17227076bc7e4f75139af,22534.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,3,0,9,1,4,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00132da27bf07ae535d944c55f820f3e,247200.0,5,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,1,2,1,1,0,3,2,0,3,1,9,1,2,0,4,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
001bd1817a1253f08b137041be4c3c9d,49813.0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,1,0,0,1,0,9,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
001ed9def989e5da26bf2dfc2cb0e8cc,8083.0,1,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,1,7,7,5,0,1,0,7,7,0,0,7,9,7,7,7,0,1,7,2,7,1,0,0,0,0,0,0,1,0,0,0,0,0
00218024e941fddb05762b121ebdf5d1,9535.0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,3,1,0,1,1,0,0,3,0,1,1,9,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0025aeda3082aaa35e76bffefff29024,2517.0,1,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,1,7,7,8,9,1,0,7,7,0,1,7,9,7,7,7,11,0,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0
