unique_identifier,usage,log_usage,status
2ac7d64df7018a4137d7c5cf98c40061,6256.80,3.7963522729,ACTIVE
26fe8b75ad11c751336e76ef00aa9c29,8638.00,3.9364131997,FINALLED
26fe8b75ad11c751336e76ef00aa9c29,24173.00,4.383330552,FINALLED
afcd5e3beba66fb8ca35625557de98af,11000.00,4.0413926852,FINALLED
e7df36f919ffd1d6ab666ac6edd995aa,12823.00,4.1079896423,FINALLED
309e4667ec44b5ff789b05075637fd2f,44156.00,4.6449897247,FINALLED
7de37d6386e8af4fda4a965766136ad1,5913.00,3.771807879,ACTIVE
4dc18e24bce7f6c1894400fb7b25f450,30380.00,4.4825877695,ACTIVE
019b70147b78a066e76e6e9cb7cc40bb,20313.00,4.3077740685,ACTIVE
85dc06d71276a5802eec502e21095be9,10387.00,4.0164901316,FINALLED
85dc06d71276a5802eec502e21095be9,9404.00,3.9733126205,FINALLED
4f478a7903a1acdba35ab3cb60791cc5,7870.00,3.8959747324,ACTIVE
c993ae9e457955b3c13f3162539e615b,31685.00,4.5008537115,FINALLED
8fba9b2aadf0956b2fe8f7e8912085d1,10424.00,4.0180344027,ACTIVE
8fba9b2aadf0956b2fe8f7e8912085d1,7535.00,3.8770832567,ACTIVE
02c0ab0c3404183d3f15e6c6c1f93d68,6759.00,3.8298824464,ACTIVE
994b9644033a3bfe004e9d54ea232e51,17303.00,4.2381214078,FINALLED
6ef8a95463942395dc046fc1322d5e87,18262.00,4.2615483384,ACTIVE
b81153b6af9da7901392158e433d5bfa,18383.00,4.2644163872,FINALLED
76a070bd4c068d5a828474bb8af54dc4,13534.00,4.1314261721,FINALLED
ae773a6b4cfd9b2bc11a4c469ee7dfa2,3067.00,3.486713776,ACTIVE
ed98ee2bc222b3eb378894ad13b668a5,14783.00,4.1697625769,FINALLED
923e379b49e0aa5eae54dbc5f0662f31,16800.00,4.2253092817,ACTIVE
d8e1105b207ec77044b5fe6b201e3462,15830.00,4.1994809149,ACTIVE
f23d84e82eb69ccfe7a700e1984e6081,28682.00,4.4576094315,ACTIVE
9d5a2b1bf5b9e057900746217fc2d6c8,3154.00,3.498861689,FINALLED
fa0bebdddc88d1ad8720e31c65bcaf4b,47285.00,4.6747233934,FINALLED
cff10fc211ea64da6d99659f48d61c8d,29377.00,4.4680074433,FINALLED
